x-axis,F1
Hertz,dBV
+0E+00,-31.81702E+00
+100E+00,-15.46240E+00
+200E+00,-4.03005E+00
+300E+00,-6.79713E+00
+400E+00,-2.26070E+00
+500E+00,-18.80617E+00
+600E+00,-6.40725E+00
+700E+00,-22.07177E+00
+800E+00,-3.53279E+00
+900E+00,-12.25390E+00
+1.000E+03,-12.40847E+00
+1.100E+03,-15.92018E+00
+1.200E+03,-10.58029E+00
+1.300E+03,-8.98945E+00
+1.400E+03,-3.89242E+00
+1.500E+03,-8.97149E+00
+1.600E+03,-18.83939E+00
+1.700E+03,-16.86389E+00
+1.800E+03,-19.66736E+00
+1.900E+03,-20.69561E+00
+2.000E+03,-22.28529E+00
+2.100E+03,-28.37720E+00
+2.200E+03,-29.94018E+00
+2.300E+03,-29.46027E+00
+2.400E+03,-28.13957E+00
+2.500E+03,-25.70627E+00
+2.600E+03,-22.11011E+00
+2.700E+03,-33.75654E+00
+2.800E+03,-33.22273E+00
+2.900E+03,-29.84357E+00
+3.000E+03,-29.71992E+00
+3.100E+03,-36.65516E+00
+3.200E+03,-35.76642E+00
+3.300E+03,-33.53324E+00
+3.400E+03,-35.01462E+00
+3.500E+03,-39.07839E+00
+3.600E+03,-28.94881E+00
+3.700E+03,-39.68689E+00
+3.800E+03,-39.24298E+00
+3.900E+03,-34.28095E+00
+4.000E+03,-39.59689E+00
+4.100E+03,-32.89214E+00
+4.200E+03,-36.99478E+00
+4.300E+03,-38.08585E+00
+4.400E+03,-36.96438E+00
+4.500E+03,-30.62754E+00
+4.600E+03,-38.44677E+00
+4.700E+03,-39.68689E+00
+4.800E+03,-39.68689E+00
+4.900E+03,-39.68689E+00
+5.000E+03,-39.37312E+00
+5.100E+03,-39.68689E+00
+5.200E+03,-38.43370E+00
+5.300E+03,-39.68689E+00
+5.400E+03,-33.88623E+00
+5.500E+03,-39.68689E+00
+5.600E+03,-36.53310E+00
+5.700E+03,-33.78649E+00
+5.800E+03,-32.97824E+00
+5.900E+03,-38.90529E+00
+6.000E+03,-39.68689E+00
+6.100E+03,-39.68689E+00
+6.200E+03,-39.68689E+00
+6.300E+03,-39.68689E+00
+6.400E+03,-39.68689E+00
+6.500E+03,-39.68689E+00
+6.600E+03,-39.68689E+00
+6.700E+03,-39.68689E+00
+6.800E+03,-39.68689E+00
+6.900E+03,-39.68689E+00
+7.000E+03,-38.27123E+00
+7.100E+03,-39.68689E+00
+7.200E+03,-39.68689E+00
+7.300E+03,-39.68689E+00
+7.400E+03,-39.68689E+00
+7.500E+03,-39.68689E+00
+7.600E+03,-39.68689E+00
+7.700E+03,-39.68689E+00
+7.800E+03,-39.68689E+00
+7.900E+03,-39.39212E+00
+8.000E+03,-39.68689E+00
+8.100E+03,-38.96214E+00
+8.200E+03,-39.68689E+00
+8.300E+03,-39.68689E+00
+8.400E+03,-39.68689E+00
+8.500E+03,-39.68689E+00
+8.600E+03,-39.68689E+00
+8.700E+03,-39.56975E+00
+8.800E+03,-39.68689E+00
+8.900E+03,-39.68689E+00
+9.000E+03,-39.68689E+00
+9.100E+03,-39.68689E+00
+9.200E+03,-39.68689E+00
+9.300E+03,-39.68689E+00
+9.400E+03,-39.53820E+00
+9.500E+03,-39.68689E+00
+9.600E+03,-39.68689E+00
+9.700E+03,-39.68689E+00
+9.800E+03,-39.68689E+00
+9.900E+03,-39.68689E+00
+10.000E+03,-39.68689E+00
+10.100E+03,-39.68689E+00
+10.200E+03,-39.68689E+00
+10.300E+03,-39.68689E+00
+10.400E+03,-39.68689E+00
+10.500E+03,-39.68689E+00
+10.600E+03,-39.68689E+00
+10.700E+03,-39.68689E+00
+10.800E+03,-39.68689E+00
+10.900E+03,-39.68689E+00
+11.000E+03,-39.68689E+00
+11.100E+03,-39.68689E+00
+11.200E+03,-39.68689E+00
+11.300E+03,-39.68689E+00
+11.400E+03,-39.68689E+00
+11.500E+03,-39.68689E+00
+11.600E+03,-39.68689E+00
+11.700E+03,-39.68689E+00
+11.800E+03,-39.68689E+00
+11.900E+03,-37.60174E+00
+12.000E+03,-39.68689E+00
+12.100E+03,-39.68689E+00
+12.200E+03,-39.68689E+00
+12.300E+03,-39.68689E+00
+12.400E+03,-39.68689E+00
+12.500E+03,-39.68689E+00
+12.600E+03,-39.68125E+00
+12.700E+03,-39.68689E+00
+12.800E+03,-39.68689E+00
+12.900E+03,-39.68689E+00
+13.000E+03,-39.68689E+00
+13.100E+03,-39.68689E+00
+13.200E+03,-39.64687E+00
+13.300E+03,-39.68689E+00
+13.400E+03,-39.68689E+00
+13.500E+03,-39.68689E+00
+13.600E+03,-37.34216E+00
